user_id,follower_count,following_count,repo_count,lifespan,starred,forked,watched
151690,285,6,200,4316,9,14,9
1562654,333,0,76,3455,20,26,20
695673,75,0,198,3814,36,35,36
50398,122,7,138,4601,32,11,32
0,0,0,0,0,0,0,0
630743,629,11,175,3849,370,280,370
1134463,119,0,0,3611,0,0,0
827682,83,0,119,3747,13,6,13
886859,194,8,134,3720,60,41,60
1351573,121,1,158,3517,421,197,421
5225162,23,0,180,2945,9,5,9
487067,45,10,44,3944,0,4,0
539358,321,0,25,3904,1,0,1
1777753,2,1,27,3390,0,1,0
41898282,0,0,0,1133,0,0,0
18632831,1,1,14,1961,0,0,0
360576,0,0,8,4043,0,0,0
